aaaaa,3,1.118984075849515e-07
aaahh,1,3.729946919498383e-08
aaaid,2,7.459893838996766e-08
aaaja,1,3.729946919498383e-08
aabad,1,3.729946919498383e-08
aacha,2,7.459893838996766e-08
aacta,1,3.729946919498383e-08
aadar,3,1.118984075849515e-07
aadhi,1,3.729946919498383e-08
aadmi,13,4.848930995347899e-07
aafca,1,3.729946919498383e-08
aafes,1,3.729946919498383e-08
aagol,1,3.729946919498383e-08
aajrb,1,3.729946919498383e-08
aaker,1,3.729946919498383e-08
aalak,2,7.459893838996766e-08
aalam,1,3.729946919498383e-08
aalia,1,3.729946919498383e-08
aaloo,1,3.729946919498383e-08
aalst,2,7.459893838996766e-08
aamdc,1,3.729946919498383e-08
aamer,4,1.4919787677993532e-07
aamir,35,1.3054814218244342e-06
aamna,1,3.729946919498383e-08
aamot,1,3.729946919498383e-08
aanes,3,1.118984075849515e-07
aangs,4,1.4919787677993532e-07
aankh,1,3.729946919498383e-08
aapis,1,3.729946919498383e-08
aapke,1,3.729946919498383e-08
aapki,1,3.729946919498383e-08
aapko,3,1.118984075849515e-07
aaplo,1,3.729946919498383e-08
aapne,2,7.459893838996766e-08
aaqib,1,3.729946919498383e-08
aarde,1,3.729946919498383e-08
aarey,3,1.118984075849515e-07
aarin,1,3.729946919498383e-08
aaron,400,1.4919787677993533e-05
aarps,1,3.729946919498383e-08
aarti,1,3.729946919498383e-08
aarts,1,3.729946919498383e-08
aarya,1,3.729946919498383e-08
aaryn,1,3.729946919498383e-08
aasas,1,3.729946919498383e-08
aasen,2,7.459893838996766e-08
aasif,2,7.459893838996766e-08
aasma,1,3.729946919498383e-08
aavas,1,3.729946919498383e-08
aavin,2,7.459893838996766e-08
aayin,1,3.729946919498383e-08
aayla,2,7.459893838996766e-08
aayog,10,3.729946919498383e-07
aazad,1,3.729946919498383e-08
ababa,50,1.8649734597491916e-06
aback,39,1.4546792986043695e-06
abaco,3,1.118984075849515e-07
abada,1,3.729946919498383e-08
abadi,4,1.4919787677993532e-07
abaev,2,7.459893838996766e-08
abaga,1,3.729946919498383e-08
abagi,1,3.729946919498383e-08
abais,2,7.459893838996766e-08
abaji,2,7.459893838996766e-08
abang,25,9.324867298745958e-07
abani,1,3.729946919498383e-08
abasi,5,1.8649734597491916e-07
abass,5,1.8649734597491916e-07
abate,17,6.340909763147251e-07
abati,2,7.459893838996766e-08
abaya,1,3.729946919498383e-08
abban,4,1.4919787677993532e-07
abbar,1,3.729946919498383e-08
abbas,116,4.326738426618125e-06
abbay,1,3.729946919498383e-08
abbey,88,3.2823532891585772e-06
abbie,18,6.71390445509709e-07
abbis,1,3.729946919498383e-08
abbos,1,3.729946919498383e-08
abbot,11,4.1029416114482216e-07
abbvn,1,3.729946919498383e-08
abbys,13,4.848930995347899e-07
abcon,4,1.4919787677993532e-07
abdal,1,3.729946919498383e-08
abdel,34,1.2681819526294503e-06
abdis,3,1.118984075849515e-07
abdou,1,3.729946919498383e-08
abdul,145,5.4084230332726554e-06
abdur,6,2.23796815169903e-07
abeba,6,2.23796815169903e-07
abebe,2,7.459893838996766e-08
abedi,15,5.594920379247575e-07
abeer,2,7.459893838996766e-08
abeke,1,3.729946919498383e-08
abela,23,8.578877914846281e-07
abell,6,2.23796815169903e-07
abels,2,7.459893838996766e-08
abema,2,7.459893838996766e-08
abena,5,1.8649734597491916e-07
abend,2,7.459893838996766e-08
abeni,1,3.729946919498383e-08
abere,1,3.729946919498383e-08
aberg,1,3.729946919498383e-08
abets,1,3.729946919498383e-08
abety,1,3.729946919498383e-08
abetz,1,3.729946919498383e-08
abhay,9,3.356952227548545e-07
abhor,5,1.8649734597491916e-07
abiad,2,7.459893838996766e-08
abico,1,3.729946919498383e-08
abida,1,3.729946919498383e-08
abide,191,7.124198616241912e-06
abidi,1,3.729946919498383e-08
abike,11,4.1029416114482216e-07
abina,1,3.729946919498383e-08
abira,1,3.729946919498383e-08
abiri,1,3.729946919498383e-08
abiru,1,3.729946919498383e-08
abish,1,3.729946919498383e-08
abiye,1,3.729946919498383e-08
abiys,7,2.610962843648868e-07
ablan,1,3.729946919498383e-08
abled,14,5.221925687297736e-07
abler,1,3.729946919498383e-08
ables,2,7.459893838996766e-08
abloh,5,1.8649734597491916e-07
abloy,2,7.459893838996766e-08
abner,9,3.356952227548545e-07
abney,3,1.118984075849515e-07
abnry,1,3.729946919498383e-08
abode,12,4.47593630339806e-07
abofu,1,3.729946919498383e-08
abogo,1,3.729946919498383e-08
aboit,1,3.729946919498383e-08
aboke,1,3.729946919498383e-08
abola,1,3.729946919498383e-08
abole,1,3.729946919498383e-08
abong,1,3.729946919498383e-08
abonu,1,3.729946919498383e-08
abood,1,3.729946919498383e-08
aboot,1,3.729946919498383e-08
abord,1,3.729946919498383e-08
abort,14,5.221925687297736e-07
abosi,2,7.459893838996766e-08
abota,1,3.729946919498383e-08
abott,1,3.729946919498383e-08
aboud,7,2.610962843648868e-07
aboul,3,1.118984075849515e-07
about,43468,0.0016213333269675572
above,2947,0.00010992153571761736
abram,6,2.23796815169903e-07
abrar,2,7.459893838996766e-08
abrem,1,3.729946919498383e-08
abreu,22,8.205883222896443e-07
abril,4,1.4919787677993532e-07
abtas,1,3.729946919498383e-08
abuah,1,3.729946919498383e-08
abudu,8,2.9839575355987064e-07
abuja,491,1.8314039374737064e-05
abula,1,3.729946919498383e-08
abule,10,3.729946919498383e-07
abuna,2,7.459893838996766e-08
abura,1,3.729946919498383e-08
aburi,2,7.459893838996766e-08
abuse,1162,4.3341983204571216e-05
abuts,3,1.118984075849515e-07
abutu,3,1.118984075849515e-07
abuzz,17,6.340909763147251e-07
abwab,1,3.729946919498383e-08
abyad,1,3.729946919498383e-08
abyei,1,3.729946919498383e-08
abyss,37,1.3800803602144019e-06
abzug,4,1.4919787677993532e-07
acads,1,3.729946919498383e-08
acash,4,1.4919787677993532e-07
acast,3,1.118984075849515e-07
acbad,1,3.729946919498383e-08
accas,1,3.729946919498383e-08
accce,1,3.729946919498383e-08
acccs,1,3.729946919498383e-08
accel,4,1.4919787677993532e-07
acces,1,3.729946919498383e-08
accis,1,3.729946919498383e-08
accjc,1,3.729946919498383e-08
accor,1,3.729946919498383e-08
accra,174,6.490107639927187e-06
accto,1,3.729946919498383e-08
acdcs,1,3.729946919498383e-08
acebo,1,3.729946919498383e-08
acela,2,7.459893838996766e-08
acems,1,3.729946919498383e-08
aceng,2,7.459893838996766e-08
acero,1,3.729946919498383e-08
acers,9,3.356952227548545e-07
acess,1,3.729946919498383e-08
acest,6,2.23796815169903e-07
aceve,1,3.729946919498383e-08
acfts,1,3.729946919498383e-08
acgcs,1,3.729946919498383e-08
acgsf,1,3.729946919498383e-08
achal,1,3.729946919498383e-08
achar,1,3.729946919498383e-08
achas,1,3.729946919498383e-08
ached,5,1.8649734597491916e-07
aches,53,1.9768718673341433e-06
achey,1,3.729946919498383e-08
achhe,1,3.729946919498383e-08
achie,1,3.729946919498383e-08
achim,1,3.729946919498383e-08
achor,1,3.729946919498383e-08
achpr,1,3.729946919498383e-08
acids,40,1.4919787677993533e-06
acies,1,3.729946919498383e-08
acing,3,1.118984075849515e-07
acips,2,7.459893838996766e-08
acita,1,3.729946919498383e-08
acito,1,3.729946919498383e-08
acjmc,1,3.729946919498383e-08
ackee,1,3.729946919498383e-08
acker,3,1.118984075849515e-07
aclar,2,7.459893838996766e-08
acled,3,1.118984075849515e-07
aclei,3,1.118984075849515e-07
acljs,2,7.459893838996766e-08
aclus,4,1.4919787677993532e-07
acmat,1,3.729946919498383e-08
acnag,1,3.729946919498383e-08
acnes,1,3.729946919498383e-08
acnwr,1,3.729946919498383e-08
acoam,1,3.729946919498383e-08
acoba,2,7.459893838996766e-08
acoin,4,1.4919787677993532e-07
acoli,1,3.729946919498383e-08
acoma,3,1.118984075849515e-07
acons,2,7.459893838996766e-08
acord,5,1.8649734597491916e-07
acorn,21,7.832888530946605e-07
acoso,1,3.729946919498383e-08
acoss,2,7.459893838996766e-08
acott,2,7.459893838996766e-08
acque,1,3.729946919498383e-08
acres,471,1.7568049990837386e-05
acrid,4,1.4919787677993532e-07
acroj,1,3.729946919498383e-08
acrss,1,3.729946919498383e-08
acryl,1,3.729946919498383e-08
acted,362,1.3502407848584148e-05
actes,1,3.729946919498383e-08
actfl,1,3.729946919498383e-08
actin,4,1.4919787677993532e-07
actio,1,3.729946919498383e-08
activ,2,7.459893838996766e-08
acton,15,5.594920379247575e-07
actor,1814,6.766123711970068e-05
actps,1,3.729946919498383e-08
actus,2,7.459893838996766e-08
acuil,1,3.729946919498383e-08
acuna,1,3.729946919498383e-08
acura,16,5.967915071197413e-07
acute,288,1.0742247128155343e-05
adade,1,3.729946919498383e-08
adage,31,1.1562835450444988e-06
adain,1,3.729946919498383e-08
adair,19,7.086899147046928e-07
adaji,1,3.729946919498383e-08
adake,2,7.459893838996766e-08
adako,3,1.118984075849515e-07
adaln,1,3.729946919498383e-08
adama,20,7.459893838996766e-07
adami,2,7.459893838996766e-08
adamo,3,1.118984075849515e-07
adams,490,1.8276739905542077e-05
adamu,84,3.133155412378642e-06
adana,1,3.729946919498383e-08
adani,34,1.2681819526294503e-06
adapt,416,1.5516579185113276e-05
adara,6,2.23796815169903e-07
adare,1,3.729946919498383e-08
adata,3,1.118984075849515e-07
