20302,penataan,pənataʔan,pe.na.ta.an,pə.na.ta.ʔan
20303,penata,pənata,pe.na.ta,pə.na.ta
20304,penat,pənat,pe.nat,pə.nat
20305,penatua,pənatua,pe.na.tu.a,pə.na.tu.a
20306,penatu,pənatu,pe.na.tu,pə.na.tu
20307,penaung,pənauŋ,pe.na.ung,pə.na.uŋ
20308,penawaran,pənawaran,pe.na.war.an,pə.na.war.an
20309,penawar,pənawar,pe.na.war,pə.na.war
20310,pencabangan,pəntʃabaŋan,pen.ca.bang.an,pən.tʃa.baŋ.an
20311,pencabar,pəntʃabar,pen.ca.bar,pən.tʃa.bar
20312,pencabikan,pəntʃabikan,pen.ca.bik.an,pən.tʃa.bik.an
20313,pencabulan,pəntʃabulan,pen.ca.bul.an,pən.tʃa.bul.an
20314,pencabutan,pəntʃabutan,pen.ca.but.an,pən.tʃa.but.an
20315,pencacahan,pəntʃatʃahan,pen.ca.cah.an,pən.tʃa.tʃah.an
20316,pencacahjiwaan,pəntʃatʃahdʒiwaʔan,pen.ca.cah.ji.wa.an,pən.tʃa.tʃah.dʒi.wa.ʔan
20317,pencacah,pəntʃatʃah,pen.ca.cah,pən.tʃa.tʃah
20318,pencacak,pəntʃatʃaʔ,pen.ca.cak,pən.tʃa.tʃaʔ
20319,pencacaran,pəntʃatʃaran,pen.ca.car.an,pən.tʃa.tʃar.an
20320,pencacar,pəntʃatʃar,pen.ca.car,pən.tʃa.tʃar
20321,pencacatan,pəntʃatʃatan,pen.ca.cat.an,pən.tʃa.tʃat.an
20322,pencacat,pəntʃatʃat,pen.ca.cat,pən.tʃa.tʃat
20323,pencacau,pəntʃatʃau,pen.ca.cau,pən.tʃa.tʃau
20324,pencaci,pəntʃatʃi,pen.ca.ci,pən.tʃa.tʃi
20325,pencadangan,pəntʃadaŋan,pen.ca.dang.an,pən.tʃa.daŋ.an
20326,pencadang,pəntʃadaŋ,pen.ca.dang,pən.tʃa.daŋ
20327,pencagaran,pəntʃagaran,pen.ca.gar.an,pən.tʃa.gar.an
20328,pencaharian,pəntʃaharian,pen.ca.ha.ri.an,pən.tʃa.ha.ri.an
20329,pencahar,pəntʃahar,pen.ca.har,pən.tʃa.har
20330,pencahayaan,pəntʃahajaʔan,pen.ca.ha.ya.an,pən.tʃa.ha.ja.ʔan
20331,pencairan,pəntʃairan,pen.ca.ir.an,pən.tʃa.ir.an
20332,pencakar,pəntʃakar,pen.ca.kar,pən.tʃa.kar
20333,pencak,pəntʃaʔ,pen.cak,pən.tʃaʔ
20334,pencakup,pəntʃakup,pen.ca.kup,pən.tʃa.kup
20335,pencalang,pəntʃalaŋ,pen.ca.lang,pən.tʃa.laŋ
20336,pencalonan,pəntʃalonan,pen.ca.lon.an,pən.tʃa.lon.an
20337,pencambukan,pəntʃambukan,pen.cam.buk.an,pən.tʃam.buk.an
20338,pencampur-adukan,pəntʃampurʔadukan,pen.cam.pur.-a.duk.an,pən.tʃam.pur.ʔa.duk.an
20339,pencampuran,pəntʃampuran,pen.cam.pur.an,pən.tʃam.pur.an
20340,pencanaian,pəntʃanaian,pen.ca.nai.an,pən.tʃa.nai.an
20341,pencanai,pəntʃanai,pen.ca.nai,pən.tʃa.nai
20342,pencanangan,pəntʃanaŋan,pen.ca.nang.an,pən.tʃa.naŋ.an
20343,pencanang,pəntʃanaŋ,pen.ca.nang,pən.tʃa.naŋ
20344,pencandraan,pəntʃandraʔan,pen.can.dra.an,pən.tʃan.dra.ʔan
20345,pencangkokan,pəntʃaŋkokan,pen.cang.kok.an,pən.tʃaŋ.kok.an
20346,pencangkok,pəntʃaŋkoʔ,pen.cang.kok,pən.tʃaŋ.koʔ
20347,pencantuman,pəntʃantuman,pen.can.tum.an,pən.tʃan.tum.an
20348,pencapaian,pəntʃapaian,pen.ca.pai.an,pən.tʃa.pai.an
20349,pencapai,pəntʃapai,pen.ca.pai,pən.tʃa.pai
20350,pencaplokan,pəntʃaplokan,pen.cap.lok.an,pən.tʃap.lok.an
20351,pencarian,pəntʃarian,pen.ca.ri.an,pən.tʃa.ri.an
20352,pencari,pəntʃari,pen.ca.ri,pən.tʃa.ri
20353,pencar,pəntʃar,pen.car,pən.tʃar
20354,pencarteran,pəntʃartəran,pen.car.ter.an,pən.tʃar.tər.an
20355,pencarter,pəntʃartər,pen.car.ter,pən.tʃar.tər
20356,pencarut,pəntʃarut,pen.ca.rut,pən.tʃa.rut
20357,pencatatan,pəntʃatatan,pen.ca.tat.an,pən.tʃa.tat.an
20358,pencatat,pəntʃatat,pen.ca.tat,pən.tʃa.tat
20359,pencatuan,pəntʃatuan,pen.ca.tu.an,pən.tʃa.tu.an
20360,pencatu,pəntʃatu,pen.ca.tu,pən.tʃa.tu
20361,pencatutan,pəntʃatutan,pen.ca.tut.an,pən.tʃa.tut.an
20362,pencatut,pəntʃatut,pen.ca.tut,pən.tʃa.tut
