12402,ketuanya,kətuaɲa,ke.tu.a.nya,kə.tu.a.ɲa
12403,ketuat,kətuat,ke.tu.at,kə.tu.at
12404,ketuban,kətuban,ke.tu.ban,kə.tu.ban
12405,ketuhanan,kətuhanan,ke.tu.han.an,kə.tu.han.an
12406,ketuir,kətuir,ke.tu.ir,kə.tu.ir
12407,ketujuh,kətudʒuh,ke.tu.juh,kə.tu.dʒuh
12408,ketukan,kətukan,ke.tuk.an,kə.tuk.an
12409,ketu,kətu,ke.tu,kə.tu
12410,ketuk,kətuʔ,ke.tuk,kə.tuʔ
12411,ketularan,kətularan,ke.tu.lar.an,kə.tu.lar.an
12412,ketulenan,kətulenan,ke.tu.len.an,kə.tu.len.an
12413,ketul,kətul,ke.tul,kə.tul
12414,ketulusan,kətulusan,ke.tu.lus.an,kə.tu.lus.an
12415,ketumbar,kətumbar,ke.tum.bar,kə.tum.bar
12416,ketumbi,kətumbi,ke.tum.bi,kə.tum.bi
12417,ketumbit,kətumbit,ke.tum.bit,kə.tum.bit
12418,ketumbuhan,kətumbuhan,ke.tum.buh.an,kə.tum.buh.an
12419,ketumbu,kətumbu,ke.tum.bu,kə.tum.bu
12420,ketumpang,kətumpaŋ,ke.tum.pang,kə.tum.paŋ
12421,ketundukan,kətundukan,ke.tun.duk.an,kə.tun.duk.an
12422,ketungging,kətuŋgiŋ,ke.tung.ging,kə.tuŋ.giŋ
12423,ketun,kətun,ke.tun,kə.tun
12424,ketupa,kətupa,ke.tu.pa,kə.tu.pa
12425,ketupat,kətupat,ke.tu.pat,kə.tu.pat
12426,ketup,kətup,ke.tup,kə.tup
12427,ketupuk,kətupuʔ,ke.tu.puk,kə.tu.puʔ
12428,ketur,kətur,ke.tur,kə.tur
12429,keturunan,kəturunan,ke.tu.run.an,kə.tu.run.an
12430,keturunannya,kəturunanɲa,ke.tu.run.an.nya,kə.tu.run.an.ɲa
12431,ketus,kətus,ke.tus,kə.tus
12432,keuangan,kəuaŋan,ke.u.ang.an,kə.ʔu.aŋ.an
12433,keuangannya,kəuaŋanɲa,ke.u.ang.an.nya,kə.ʔu.aŋ.an.ɲa
12434,keuletan,kəulətan,ke.u.let.an,kə.ʔu.lət.an
12435,keunggulan,kəuŋgulan,ke.ung.gul.an,kə.ʔuŋ.gul.an
12436,keunikan,kəunikan,ke.u.nik.an,kə.ʔu.nik.an
12437,keuntungan,kəuntuŋan,ke.un.tung.an,kə.ʔun.tuŋ.an
12438,keusahawanan,kəusahawanan,ke.u.sa.ha.wan.an,kə.ʔu.sa.ha.wan.an
12439,keuskupan,kəuskupan,ke.us.kup.an,kə.ʔus.kup.an
12440,keutamaan,kəutamaʔan,ke.u.ta.ma.an,kə.ʔu.ta.ma.ʔan
12441,keutuhan,kəutuhan,ke.u.tuh.an,kə.ʔu.tuh.an
12442,keuzuran,kəuzuran,ke.u.zur.an,kə.ʔu.zur.an
12443,kewafatan,kəwafatan,ke.wa.fat.an,kə.wa.fat.an
12444,kewajaran,kəwadʒaran,ke.wa.jar.an,kə.wa.dʒar.an
12445,kewajiban,kəwadʒiban,ke.wa.jib.an,kə.wa.dʒib.an
12446,kewajibannya,kəwadʒibanɲa,ke.wa.jib.an.nya,kə.wa.dʒib.an.ɲa
12447,kewanitaan,kəwanitaʔan,ke.wa.ni.ta.an,kə.wa.ni.ta.ʔan
12448,kewarasan,kəwarasan,ke.wa.ras.an,kə.wa.ras.an
12449,kewargaan,kəwargaʔan,ke.war.ga.an,kə.war.ga.ʔan
12450,kewarganegaraan,kəwarganəgaraʔan,ke.war.ga.ne.ga.ra.an,kə.war.ga.nə.ga.ra.ʔan
12451,kewartawanan,kəwartawanan,ke.war.ta.wan.an,kə.war.ta.wan.an
12452,kewaspadaan,kəwaspadaʔan,ke.was.pa.da.an,kə.was.pa.da.ʔan
12453,kewenangan,kəwənaŋan,ke.we.nang.an,kə.wə.naŋ.an
12454,kewes,kewes,ke.wes,ke.wes
12455,kewibawaan,kəwibawaʔan,ke.wi.ba.wa.an,kə.wi.ba.wa.ʔan
12456,kewuh,kewuh,ke.wuh,ke.wuh
12457,kewujudan,kəwudʒudan,ke.wu.jud.an,kə.wu.dʒud.an
12458,keyakinan,kəjakinan,ke.ya.kin.an,kə.ja.kin.an
12459,khabar,ʔhabar,kha.bar,kha.bar
12460,khadam,ʔhadam,kha.dam,kha.dam
12461,kha,ʔha,kha,kha
12462,khalayak,ʔhalajaʔ,kha.la.yak,kha.la.jaʔ
12463,khalifah,ʔhalifah,kha.li.fah,kha.li.fah
12464,khali,ʔhali,kha.li,kha.li
12465,khalwat,ʔhalwat,khal.wat,khal.wat
12466,khamir,ʔhamir,kha.mir,kha.mir
12467,khas,ʔhas,khas,khas
12468,khasiat,ʔhasiat,kha.si.at,kha.si.at
12469,khasnya,ʔhasɲa,khas.nya,khas.ɲa
12470,khatan,ʔhatan,kha.tan,kha.tan
12471,khat,ʔhat,khat,khat
12472,khatib,ʔhatib,kha.tib,kha.tib
12473,khatulistiwa,ʔhatulistiwa,kha.tu.lis.ti.wa,kha.tu.lis.ti.wa
12474,khawatir,ʔhawatir,kha.wa.tir,kha.wa.tir
12475,khayalan,ʔhajalan,kha.yal.an,kha.jal.an
12476,khayal,ʔhajal,kha.yal,kha.jal
12477,khazanah,ʔhazanah,kha.za.nah,kha.za.nah
12478,khemah,ʔhemah,khe.mah,khe.mah
12479,khianat,ʔhianat,khi.a.nat,khi.a.nat
12480,khidmat,ʔhidmat,khid.mat,khid.mat
12481,khilaf,ʔhilaf,khi.laf,khi.laf
12482,khir,ʔhir,khir,khir
12483,khitan,ʔhitan,khi.tan,khi.tan
12484,khotbah,ʔhotbah,khot.bah,khot.bah
12485,khuatir,ʔhuatir,khu.a.tir,khu.a.tir
12486,khurafat,ʔhurafat,khu.ra.fat,khu.ra.fat
12487,khusus,ʔhusus,khu.sus,khu.sus
12488,khususnya,ʔhususɲa,khu.sus.nya,khu.sus.ɲa
12489,khusyuk,ʔhusjuʔ,khu.syuk,khu.sjuʔ
12490,khutbah,ʔhutbah,khut.bah,khut.bah
12491,kiai,kiai,ki.ai,ki.ai
12492,kial,kial,ki.al,ki.al
12493,kiamat,kiamat,ki.a.mat,ki.a.mat
12494,kiambang,kiambaŋ,ki.am.bang,ki.am.baŋ
12495,kian,kian,ki.an,ki.an
12496,kiasan,kiasan,ki.as.an,ki.as.an
12497,kias,kias,ki.as,ki.as
12498,kiat,kiat,ki.at,ki.at
12499,kibar,kibar,ki.bar,ki.bar
12500,kibas,kibas,ki.bas,ki.bas
12501,kiblat,kiblat,kib.lat,kib.lat
