aaaaaa,6,2.701903572123668e-07
aaaaan,1,4.503172620206114e-08
aaaaat,2,9.006345240412228e-08
aaaaku,1,4.503172620206114e-08
aaahhh,1,4.503172620206114e-08
aaakkk,1,4.503172620206114e-08
aaalll,1,4.503172620206114e-08
aaanya,3,1.350951786061834e-07
aaarrr,1,4.503172620206114e-08
aacson,1,4.503172620206114e-08
aadaan,1,4.503172620206114e-08
aadiah,5,2.251586310103057e-07
aadila,2,9.006345240412228e-08
aaffah,1,4.503172620206114e-08
aafiah,1,4.503172620206114e-08
aafihi,1,4.503172620206114e-08
aafkan,202,9.09640869281635e-06
aaflah,1,4.503172620206114e-08
aafnya,41,1.8463007742845066e-06
aagama,1,4.503172620206114e-08
aagari,1,4.503172620206114e-08
aagiin,2,9.006345240412228e-08
aagoan,1,4.503172620206114e-08
aagung,6,2.701903572123668e-07
aahaan,6,2.701903572123668e-07
aaheer,1,4.503172620206114e-08
aahkan,1,4.503172620206114e-08
aahnya,36,1.621142143274201e-06
aahsan,25,1.1257931550515285e-06
aahury,1,4.503172620206114e-08
aaidin,1,4.503172620206114e-08
aaikan,1,4.503172620206114e-08
aailir,1,4.503172620206114e-08
aaitas,1,4.503172620206114e-08
aajasa,1,4.503172620206114e-08
aakaan,2,9.006345240412228e-08
aakhee,1,4.503172620206114e-08
aaktor,1,4.503172620206114e-08
aalagi,2,9.006345240412228e-08
aaland,359,1.6166389706539948e-05
aalbum,1,4.503172620206114e-08
aalika,1,4.503172620206114e-08
aallah,318,1.4320088932255442e-05
aallim,1,4.503172620206114e-08
aalloh,2,9.006345240412228e-08
aamaan,5,2.251586310103057e-07
aamang,7,3.1522208341442794e-07
aamoun,1,4.503172620206114e-08
aamour,1,4.503172620206114e-08
aampai,1,4.503172620206114e-08
aanaan,5,2.251586310103057e-07
aanang,2,9.006345240412228e-08
aanari,1,4.503172620206114e-08
aanban,1,4.503172620206114e-08
aancaa,1,4.503172620206114e-08
aandan,4,1.8012690480824456e-07
aandar,1,4.503172620206114e-08
aanfat,1,4.503172620206114e-08
aangan,2,9.006345240412228e-08
aangat,1,4.503172620206114e-08
aangel,1,4.503172620206114e-08
aangka,2,9.006345240412228e-08
aangus,1,4.503172620206114e-08
aanies,1,4.503172620206114e-08
aanika,1,4.503172620206114e-08
aankan,4,1.8012690480824456e-07
aanlah,1,4.503172620206114e-08
aannan,1,4.503172620206114e-08
aannya,3897,0.00017548863700943225
aanpun,1,4.503172620206114e-08
aantau,1,4.503172620206114e-08
aanyar,4,1.8012690480824456e-07
aapaan,1,4.503172620206114e-08
aapian,81,3.647569822366952e-06
aapnya,1,4.503172620206114e-08
